time,open,high,low,close,tick_volume,spread,real_volume
1689274800,1.11929,1.12089,1.11918,1.12059,3364,0,0
1689278400,1.12058,1.12185,1.12023,1.12158,2430,0,0
1689282000,1.12157,1.12227,1.12132,1.12226,2154,0,0
1689285600,1.12226,1.12271,1.12193,1.12264,2129,0,0
1689289200,1.12262,1.12279,1.12242,1.12252,995,0,0
1689292800,1.12257,1.12257,1.12028,1.12238,713,14,0
1689296400,1.12241,1.12296,1.12215,1.12245,749,1,0
1689300000,1.12248,1.12281,1.12215,1.12231,725,0,0
1689303600,1.1223,1.12247,1.12133,1.12227,2293,0,0
1689307200,1.12227,1.12337,1.12222,1.12331,2364,0,0
1689310800,1.12328,1.12386,1.12312,1.12354,1384,0,0
1689314400,1.12354,1.12429,1.12336,1.12413,1182,0,0
1689318000,1.12413,1.12413,1.12328,1.12332,1076,0,0
1689321600,1.12332,1.12353,1.12183,1.12193,1761,0,0
1689325200,1.12193,1.12257,1.12056,1.12102,3126,0,0
1689328800,1.12101,1.1221700000000001,1.12043,1.12216,3406,0,0
1689332400,1.12215,1.12358,1.12213,1.12313,3666,0,0
1689336000,1.12313,1.1245,1.12263,1.12269,3283,0,0
1689339600,1.12268,1.12268,1.12157,1.12203,2927,0,0
1689343200,1.12204,1.12343,1.12194,1.12244,2905,0,0
1689346800,1.12244,1.12272,1.12099,1.12258,4962,0,0
1689350400,1.12258,1.12441,1.12177,1.12397,4916,0,0
1689354000,1.12344,1.1244399999999999,1.1215,1.12417,12322,0,0
1689357600,1.12418,1.1244399999999999,1.1235,1.12357,3651,0,0
1689361200,1.12357,1.12432,1.12331,1.12395,2206,0,0
1689364800,1.12399,1.12399,1.12265,1.12342,2071,0,0
1689368400,1.12342,1.12367,1.12314,1.12341,1813,0,0
1689372000,1.12342,1.12342,1.12302,1.12303,233,0,0
1689552000,1.12288,1.12345,1.12195,1.12289,358,20,0
1689555600,1.12293,1.12314,1.1224,1.1225,584,2,0
1689559200,1.1225,1.12293,1.12229,1.12269,790,0,0
1689562800,1.12273,1.12297,1.12232,1.12246,920,0,0
1689566400,1.12246,1.12273,1.12171,1.12177,1570,0,0
1689570000,1.12175,1.12279,1.12145,1.12265,1367,0,0
1689573600,1.12265,1.12284,1.12244,1.12265,741,0,0
1689577200,1.12265,1.12275,1.12224,1.1227,711,0,0
1689580800,1.1227,1.12345,1.12221,1.12326,1282,0,0
1689584400,1.12326,1.124,1.12226,1.12333,2515,0,0
1689588000,1.12332,1.12452,1.12296,1.12449,3626,0,0
1689591600,1.12448,1.12488,1.12365,1.1238,3013,0,0
1689595200,1.1238,1.1245,1.12346,1.12435,2437,0,0
1689598800,1.12433,1.12437,1.12309,1.12313,1910,0,0
1689602400,1.12313,1.12377,1.12292,1.12339,1678,0,0
1689606000,1.12338,1.12371,1.12209,1.12356,4827,0,0
1689609600,1.12356,1.12359,1.12033,1.12213,5296,0,0
1689613200,1.12214,1.12334,1.12177,1.1232199999999999,3614,0,0
1689616800,1.1232199999999999,1.1238,1.12254,1.12352,2315,0,0
1689620400,1.12354,1.1238299999999999,1.12301,1.1233,1110,0,0
1689624000,1.1233,1.1244399999999999,1.1232199999999999,1.12405,2024,0,0
1689627600,1.12405,1.12442,1.12393,1.12431,1675,0,0
1689631200,1.12431,1.12461,1.12413,1.12439,1144,0,0
1689634800,1.1244,1.1244,1.12314,1.12314,908,0,0
1689638400,1.12314,1.1239,1.12308,1.12361,355,16,0
1689642000,1.12362,1.12401,1.12361,1.12392,405,2,0
1689645600,1.12393,1.12398,1.1237,1.12375,472,0,0
1689649200,1.12375,1.12464,1.12347,1.12418,1427,0,0
1689652800,1.12419,1.12558,1.12385,1.1245,2778,0,0
1689656400,1.12451,1.12488,1.12432,1.12476,1274,0,0
1689660000,1.12476,1.12547,1.12445,1.12538,1431,0,0
1689663600,1.12539,1.12564,1.12503,1.12518,1280,0,0
1689667200,1.12518,1.12641,1.1249500000000001,1.12502,1821,0,0
1689670800,1.12502,1.12573,1.12404,1.12563,3161,0,0
1689674400,1.12562,1.12758,1.12432,1.12539,6737,0,0
1689678000,1.1254,1.1256,1.12281,1.12369,4719,0,0
1689681600,1.1237300000000001,1.12494,1.1237,1.12488,2476,0,0
1689685200,1.12489,1.12601,1.1247,1.12573,2684,0,0
1689688800,1.12572,1.12578,1.12419,1.12534,2710,0,0
1689692400,1.12534,1.12698,1.12231,1.12397,10705,0,0
1689696000,1.12398,1.1246,1.12168,1.12266,10383,0,0
1689699600,1.12265,1.12402,1.12251,1.12369,9282,0,0
1689703200,1.1237,1.12455,1.12212,1.12226,3800,0,0
1689706800,1.12227,1.12285,1.12089,1.12148,2245,0,0
1689710400,1.12148,1.12211,1.12094,1.12189,1443,0,0
1689714000,1.12189,1.12311,1.12138,1.1229,1903,0,0
1689717600,1.1229,1.12308,1.12244,1.12301,1782,0,0
1689721200,1.12302,1.12315,1.12265,1.1228,1071,0,0
1689724800,1.12263,1.12294,1.12232,1.12267,375,8,0
1689728400,1.1226099999999999,1.12326,1.12259,1.12314,447,1,0
1689732000,1.12314,1.12321,1.12249,1.12279,965,0,0
1689735600,1.12279,1.12327,1.12269,1.12296,1299,0,0
1689739200,1.12296,1.12313,1.12218,1.12249,1837,0,0
1689742800,1.12252,1.12255,1.12163,1.1221700000000001,1734,0,0
1689746400,1.1221700000000001,1.12266,1.12203,1.1226099999999999,1177,0,0
1689750000,1.1226099999999999,1.12266,1.12199,1.12218,872,0,0
1689753600,1.1221700000000001,1.12357,1.12203,1.12352,1386,0,0
1689757200,1.12355,1.12356,1.11958,1.1213,7724,0,0
1689760800,1.12131,1.1237300000000001,1.12126,1.12271,5933,0,0
1689764400,1.1227,1.12324,1.12202,1.12323,3744,0,0
1689768000,1.12321,1.12402,1.12257,1.12296,2923,0,0
1689771600,1.12296,1.12296,1.12158,1.12161,2601,0,0
1689775200,1.12161,1.1219999999999999,1.12101,1.12132,2400,0,0
1689778800,1.1213,1.12241,1.12088,1.12171,4939,0,0
1689782400,1.12171,1.12247,1.12133,1.12137,5500,0,0
1689786000,1.12137,1.12144,1.11744,1.11908,8314,0,0
1689789600,1.11908,1.11994,1.11896,1.11941,4922,0,0
1689793200,1.11942,1.11952,1.11801,1.11921,3758,0,0
1689796800,1.11921,1.11997,1.11902,1.11991,2408,0,0
1689800400,1.11991,1.12021,1.11951,1.12018,1454,0,0
1689804000,1.12018,1.1205,1.11984,1.12037,1790,0,0
1689807600,1.12037,1.12045,1.11986,1.11986,662,0,0
1689811200,1.11991,1.12024,1.11941,1.11997,637,10,0
1689814800,1.12001,1.12036,1.1199,1.12032,515,2,0
1689818400,1.12032,1.12051,1.12021,1.12049,488,0,0
1689822000,1.12049,1.12202,1.12039,1.12182,2288,0,0
1689825600,1.12181,1.12285,1.1215600000000001,1.12256,2787,0,0
1689829200,1.12256,1.1229,1.12209,1.12252,1504,0,0
1689832800,1.1225,1.12272,1.12186,1.12259,1243,0,0
1689836400,1.12259,1.12268,1.1219999999999999,1.12214,768,0,0
1689840000,1.12214,1.12232,1.12131,1.12165,1699,0,0
1689843600,1.12166,1.12179,1.12058,1.12108,2596,0,0
1689847200,1.12108,1.1221,1.11981,1.12054,4536,0,0
1689850800,1.12055,1.12135,1.12012,1.12086,3595,0,0
1689854400,1.12086,1.12143,1.12052,1.12118,2644,0,0
1689858000,1.12118,1.12167,1.1201699999999999,1.12041,2430,0,0
1689861600,1.12041,1.12126,1.11987,1.12071,2639,0,0
1689865200,1.12071,1.12071,1.11772,1.11827,7615,0,0
1689868800,1.11826,1.11879,1.11721,1.11829,5664,0,0
1689872400,1.11832,1.11886,1.11406,1.1147,9964,0,0
1689876000,1.11471,1.11525,1.11321,1.11348,4606,0,0
1689879600,1.11348,1.11387,1.11185,1.1124,2949,0,0
1689883200,1.11241,1.11348,1.1122,1.11304,2565,0,0
1689886800,1.11304,1.11307,1.11235,1.11262,1635,0,0
